TAG,NAME,DESCRIPTION
PAC,git,requried to install git programs
PAC,vim,boomer editor
PAC,xorg-server,graphical server
PAC,xorg-xinit,starts graphical server
PAC,libx11,required by dwm
PAC,libxft,required by dwm
PAC,libxinerama,required by dwm
PAC,ttf-inconsolata,monospace font requried to startx
GIT,https://github.com/nramirezuy/dwm.git,windows manager
GIT,https://github.com/nramirezuy/dmenu.git,menu manager
GIT,https://github.com/nramirezuy/st.git,simple terminal
PAC,gcr,required by surf
PAC,glib2,required by surf
GIT,https://github.com/nramirezuy/surf.git,simple web browser
